04:42:40.378 [main] DEBUG	appLog: Program start
04:42:42.436 [main] INFO	appLog: TEACHER MAPPING:
04:42:42.468 [main] INFO	appLog: - Teacher ID_1: Ягешев Сидор
04:42:42.468 [main] INFO	appLog: COURSE MAPPING:
04:42:42.474 [main] INFO	appLog: - Course  ID_1: Веб-разработчик c 0 до PRO
04:42:42.474 [main] INFO	appLog: STUDENT MAPPING:
04:42:42.478 [main] INFO	appLog: - Student ID_1: Фуриков Эрнст
04:42:42.478 [main] INFO	appLog: SUBSCRIPTION MAPPING:
04:42:42.504 [main] INFO	appLog: - Subscription number: 	1
04:42:42.505 [main] INFO	appLog: - Subscription date:   	17.05.18
04:42:42.505 [main] INFO	appLog: - Subscription course: 	Веб-разработчик c 0 до PRO
04:42:42.505 [main] INFO	appLog: - Subscription student:	Жариков Афанасий
04:42:42.505 [main] INFO	appLog: TOTAL MAPPING:
04:42:42.510 [main] INFO	appLog: - Course: Data Scientist с 0 до PRO
04:42:42.510 [main] INFO	appLog: - Course teacher: Лобан Эммануил
04:42:42.526 [main] INFO	appLog: 	1. Teacher: Лобан Эммануил,	Course: Java-разработчик
04:42:42.549 [main] INFO	appLog: 		1. Subscription:	04.01.18 Кооскора Вениамин
04:42:42.549 [main] INFO	appLog: 		2. Subscription:	18.02.18 Квасников Емельян
04:42:42.549 [main] INFO	appLog: 		3. Subscription:	04.04.18 Решетилов Изяслав
04:42:42.550 [main] INFO	appLog: 		4. Subscription:	19.05.18 Грузинский Парфен
04:42:42.550 [main] INFO	appLog: 		5. Subscription:	03.07.18 Лилов Тимофей
04:42:42.550 [main] INFO	appLog: 		6. Subscription:	17.08.18 Барсуков Виктор
04:42:42.554 [main] INFO	appLog: 		1. Student:	Кооскора Вениамин
04:42:42.562 [main] INFO	appLog: 			1. Subscription:	04.01.18 Java-разработчик
04:42:42.562 [main] INFO	appLog: 			2. Subscription:	14.04.18 Рекламная графика
04:42:42.562 [main] INFO	appLog: 		2. Student:	Грузинский Парфен
04:42:42.570 [main] INFO	appLog: 			1. Subscription:	08.02.18 CRM-маркетолог
04:42:42.570 [main] INFO	appLog: 			2. Subscription:	19.05.18 Java-разработчик
04:42:42.570 [main] INFO	appLog: 		3. Student:	Квасников Емельян
