07:02:00.090 [main] DEBUG	appLog: Program start
07:02:02.452 [main] INFO	appLog: TEACHER MAPPING:
07:02:02.487 [main] INFO	appLog: - Teacher ID_1: Ягешев Сидор
07:02:02.487 [main] INFO	appLog: COURSE MAPPING:
07:02:02.493 [main] INFO	appLog: - Course  ID_1: Веб-разработчик c 0 до PRO
07:02:02.493 [main] INFO	appLog: STUDENT MAPPING:
07:02:02.497 [main] INFO	appLog: - Student ID_1: Фуриков Эрнст
07:02:02.498 [main] INFO	appLog: SUBSCRIPTION MAPPING:
07:02:02.524 [main] INFO	appLog: - Subscription number: 	1
07:02:02.525 [main] INFO	appLog: - Subscription date:   	17.05.18
07:02:02.525 [main] INFO	appLog: - Subscription course: 	Веб-разработчик c 0 до PRO
07:02:02.525 [main] INFO	appLog: - Subscription student:	Жариков Афанасий
07:02:02.525 [main] INFO	appLog: TOTAL MAPPING:
07:02:02.530 [main] INFO	appLog: - Course: Data Scientist с 0 до PRO
07:02:02.530 [main] INFO	appLog: - Course teacher: Лобан Эммануил
07:02:02.540 [main] INFO	appLog: 	1. Teacher: Лобан Эммануил,	Course: Java-разработчик
07:02:02.570 [main] INFO	appLog: 		1. Subscription:	04.01.18 Кооскора Вениамин
07:02:02.570 [main] INFO	appLog: 		2. Subscription:	18.02.18 Квасников Емельян
07:02:02.570 [main] INFO	appLog: 		3. Subscription:	04.04.18 Решетилов Изяслав
07:02:02.570 [main] INFO	appLog: 		4. Subscription:	19.05.18 Грузинский Парфен
07:02:02.570 [main] INFO	appLog: 		5. Subscription:	03.07.18 Лилов Тимофей
07:02:02.570 [main] INFO	appLog: 		6. Subscription:	17.08.18 Барсуков Виктор
07:02:02.576 [main] INFO	appLog: 		1. Student:	Кооскора Вениамин
07:02:02.585 [main] INFO	appLog: 			1. Subscription:	04.01.18 Java-разработчик
07:02:02.585 [main] INFO	appLog: 			2. Subscription:	14.04.18 Рекламная графика
07:02:02.585 [main] INFO	appLog: 		2. Student:	Грузинский Парфен
07:02:02.597 [main] INFO	appLog: 			1. Subscription:	08.02.18 CRM-маркетолог
07:02:02.597 [main] INFO	appLog: 			2. Subscription:	19.05.18 Java-разработчик
07:02:02.597 [main] INFO	appLog: 		3. Student:	Квасников Емельян
07:02:02.614 [main] INFO	appLog: 			1. Subscription:	18.02.18 Java-разработчик
07:02:02.614 [main] INFO	appLog: 			2. Subscription:	29.05.18 Рекламная графика
07:02:02.614 [main] INFO	appLog: 			3. Subscription:	27.07.18 SMM-маркетолог от А до Я
07:02:02.614 [main] INFO	appLog: 			4. Subscription:	21.09.18 CRM-маркетолог
07:02:02.615 [main] INFO	appLog: 		4. Student:	Барсуков Виктор
07:02:02.628 [main] INFO	appLog: 			1. Subscription:	11.03.18 Sketch
07:02:02.628 [main] INFO	appLog: 			2. Subscription:	19.06.18 Управление репутацией
07:02:02.628 [main] INFO	appLog: 			3. Subscription:	17.08.18 Java-разработчик
07:02:02.628 [main] INFO	appLog: 		5. Student:	Лилов Тимофей
07:02:02.641 [main] INFO	appLog: 			1. Subscription:	25.03.18 CRM-маркетолог
07:02:02.641 [main] INFO	appLog: 			2. Subscription:	03.07.18 Java-разработчик
